;ACP;pol;q3;q1;median;IQR;mean;std;count;optimal_count
40;PROCESSING_ACPS_JUNDIAI;POLICIES_buy;0.0;0.0;0.0;0.0;0.02166788055353241;0.14559664661608887;5492;119
41;PROCESSING_ACPS_JUNDIAI;POLICIES_rent;1.0;0.0;0.0;1.0;0.28468501755034176;0.45126428878507924;5413;1541
42;PROCESSING_ACPS_JUNDIAI;POLICIES_wage;1.0;0.0;0.0;1.0;0.3006369426751592;0.45853502742330626;5495;1652
43;PROCESSING_ACPS_JUNDIAI;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.1456059204440333;0.3527106978469453;5405;787
44;PROCESSING_ACPS_FEIRA DE SANTANA;POLICIES_buy;0.0;0.0;0.0;0.0;0.029815684857246116;0.1700785400741066;5534;165
45;PROCESSING_ACPS_FEIRA DE SANTANA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2816822429906542;0.4498192492261845;5350;1507
46;PROCESSING_ACPS_FEIRA DE SANTANA;POLICIES_wage;1.0;0.0;0.0;1.0;0.26959247648902823;0.44374809645737184;5423;1462
47;PROCESSING_ACPS_FEIRA DE SANTANA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17877199550730064;0.3831612834429365;5342;955
48;PROCESSING_ACPS_IPATINGA;POLICIES_buy;0.0;0.0;0.0;0.0;0.026098143723580224;0.15942719535187078;5441;142
49;PROCESSING_ACPS_IPATINGA;POLICIES_rent;1.0;0.0;0.0;1.0;0.28484848484848485;0.45134224877359674;5445;1551
50;PROCESSING_ACPS_IPATINGA;POLICIES_wage;1.0;0.0;0.0;1.0;0.28563636363636363;0.4517169815326391;5500;1571
51;PROCESSING_ACPS_IPATINGA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17216937138593547;0.37752758699531785;5361;923
52;PROCESSING_ACPS_LONDRINA;POLICIES_buy;0.0;0.0;0.0;0.0;0.03144424131627057;0.17451504520904412;5470;172
53;PROCESSING_ACPS_LONDRINA;POLICIES_rent;1.0;0.0;0.0;1.0;0.28730797366495975;0.45250646617865536;5468;1571
54;PROCESSING_ACPS_LONDRINA;POLICIES_wage;1.0;0.0;0.0;1.0;0.28253330899799234;0.4502313164414902;5479;1548
55;PROCESSING_ACPS_LONDRINA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.16774911857487473;0.3736433483848299;5389;904
56;PROCESSING_ACPS_SOROCABA;POLICIES_buy;0.0;0.0;0.0;0.0;0.031084293289449626;0.17354555597924456;5469;170
57;PROCESSING_ACPS_SOROCABA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2870029455081001;0.45236296795579384;5432;1559
58;PROCESSING_ACPS_SOROCABA;POLICIES_wage;1.0;0.0;0.0;1.0;0.2815608263198164;0.44976029993977745;5228;1472
59;PROCESSING_ACPS_SOROCABA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17562724014336917;0.38050271045419964;5580;980
60;PROCESSING_ACPS_JOAO PESSOA;POLICIES_buy;0.0;0.0;0.0;0.0;0.036893562073418186;0.18850046989584143;5421;200
61;PROCESSING_ACPS_JOAO PESSOA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2857668937580556;0.4517789018866727;5431;1552
62;PROCESSING_ACPS_JOAO PESSOA;POLICIES_wage;1.0;0.0;0.0;1.0;0.27438570364854803;0.4462042013269701;5372;1474
63;PROCESSING_ACPS_JOAO PESSOA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.18465703971119132;0.38801909411302277;5540;1023
64;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;POLICIES_buy;0.0;0.0;0.0;0.0;0.01675468949189583;0.1283509636579562;5491;92
65;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;POLICIES_rent;1.0;0.0;0.0;1.0;0.2758814703675919;0.44695736337530834;5332;1471
66;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;POLICIES_wage;1.0;0.0;0.0;1.0;0.2842621165365765;0.4510622635941986;5509;1566
67;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.14363093014568548;0.35071510667658823;5354;769
68;PROCESSING_ACPS_MACEIO;POLICIES_buy;0.0;0.0;0.0;0.0;0.03365927040240692;0.18035055840885159;5318;179
69;PROCESSING_ACPS_MACEIO;POLICIES_rent;1.0;0.0;0.0;1.0;0.2826809453471196;0.45030259657787713;5416;1531
70;PROCESSING_ACPS_MACEIO;POLICIES_wage;1.0;0.0;0.0;1.0;0.2825887111601397;0.45025807209309515;5439;1537
71;PROCESSING_ACPS_MACEIO;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.18433179723502305;0.3877545431882512;5425;1000
72;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;POLICIES_buy;0.0;0.0;0.0;0.0;0.033278777959629025;0.17936359969944493;5499;183
73;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;POLICIES_rent;1.0;0.0;0.0;1.0;0.2808658961658411;0.44942212288315325;5451;1531
74;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;POLICIES_wage;1.0;0.0;0.0;1.0;0.2713192759843254;0.4446404462750401;5359;1454
75;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.1753902662993572;0.38030056637717197;5445;955
76;PROCESSING_ACPS_ILHEUS - ITABUNA;POLICIES_buy;0.0;0.0;0.0;0.0;0.02007366482504604;0.14025231836065222;5430;109
77;PROCESSING_ACPS_ILHEUS - ITABUNA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2907488986784141;0.45410789091988196;5448;1584
78;PROCESSING_ACPS_ILHEUS - ITABUNA;POLICIES_wage;1.0;0.0;0.0;1.0;0.29024655547498185;0.4538760761594404;5516;1601
79;PROCESSING_ACPS_ILHEUS - ITABUNA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.16495034939315925;0.3711357320822585;5438;897
80;PROCESSING_ACPS_SAO LUIS;POLICIES_buy;0.0;0.0;0.0;0.0;0.021929824561403508;0.14645445488652634;5472;120
81;PROCESSING_ACPS_SAO LUIS;POLICIES_rent;1.0;0.0;0.0;1.0;0.289526964844469;0.45354283311768756;5433;1573
82;PROCESSING_ACPS_SAO LUIS;POLICIES_wage;1.0;0.0;0.0;1.0;0.27336405529953917;0.4456861547880186;5425;1483
83;PROCESSING_ACPS_SAO LUIS;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.15734720416124837;0.3641278092976239;5383;847
84;PROCESSING_ACPS_UBERLANDIA;POLICIES_buy;0.0;0.0;0.0;0.0;0.03947851634226956;0.19473048834140663;5446;215
85;PROCESSING_ACPS_UBERLANDIA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2830257628357391;0.4504688451013978;5473;1549
86;PROCESSING_ACPS_UBERLANDIA;POLICIES_wage;1.0;0.0;0.0;1.0;0.2795918367346939;0.4487986648442865;5390;1507
87;PROCESSING_ACPS_UBERLANDIA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17572001458257383;0.38058177972371965;5486;964
88;PROCESSING_ACPS_MARINGA;POLICIES_buy;0.0;0.0;0.0;0.0;0.038130841121495326;0.19151208859198054;5350;204
89;PROCESSING_ACPS_MARINGA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2830188679245283;0.4504655240118235;5459;1545
90;PROCESSING_ACPS_MARINGA;POLICIES_wage;1.0;0.0;0.0;1.0;0.290014684287812;0.4537688477465732;5448;1580
91;PROCESSING_ACPS_MARINGA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.18144252441773104;0.3853843986861068;5324;966
92;PROCESSING_ACPS_VITORIA;POLICIES_buy;0.0;0.0;0.0;0.0;0.022096420745069394;0.14699717322222988;5476;121
93;PROCESSING_ACPS_VITORIA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2904332129963899;0.4539622911487071;5540;1609
94;PROCESSING_ACPS_VITORIA;POLICIES_wage;1.0;0.0;0.0;1.0;0.28168504791177;0.4498206105712741;5531;1558
